sr_no,state,mp_name_raw,constituency,allocated_amount,house,state_key,elected_nominated,mp_name_clean,mp_key
454,Kerala,Shri Kumbakudi Sudhakaran,KANNUR,147000000.0,LS,Kerala,,KUMBAKUDI SUDHAKARAN,LS_KUMBAKUDI SUDHAKARAN
455,Karnataka,Shri LS Tejasvi Surya,BANGALORE SOUTH,147000000.0,LS,Karnataka,,LS TEJASVI SURYA,LS_LS TEJASVI SURYA
456,Kerala,Shri M K Raghavan,KOZHIKODE,147000000.0,LS,Kerala,,M K RAGHAVAN,LS_M K RAGHAVAN
457,Uttar Pradesh,Shri Narendra Modi,VARANASI,162070276.11,LS,Uttar Pradesh,,NARENDRA MODI,LS_NARENDRA MODI
458,Kerala,Shri NK Premachandran,KOLLAM,171477994.11,LS,Kerala,,NK PREMACHANDRAN,LS_NK PREMACHANDRAN
459,Rajasthan,Shri PP Chaudhary,PALI,147000000.0,LS,Rajasthan,,PP CHAUDHARY,LS_PP CHAUDHARY
460,Kerala,Shri Rajmohan Unnithan,KASARAGOD,156754633.11,LS,Kerala,,RAJMOHAN UNNITHAN,LS_RAJMOHAN UNNITHAN
461,Assam,Shri Sarbananda Sonowal (18LS),DIBRUGARH,147000000.0,LS,Assam,,SARBANANDA SONOWAL,LS_SARBANANDA SONOWAL
462,Uttar Pradesh,Shri Satish Kumar Gautam,ALIGARH,147000000.0,LS,Uttar Pradesh,,SATISH KUMAR GAUTAM,LS_SATISH KUMAR GAUTAM
463,West Bengal,Shri Shantanu Thakur,BANGAON(SC),147000000.0,LS,West Bengal,,SHANTANU THAKUR,LS_SHANTANU THAKUR
464,Madhya Pradesh,Shri Sudheer Gupta,MANDSOUR,148988014.83,LS,Madhya Pradesh,,SUDHEER GUPTA,LS_SUDHEER GUPTA
465,Kerala,Shri Suresh Kodikunnil,MAVELIKKARA(SC),172429519.11,LS,Kerala,,SURESH KODIKUNNIL,LS_SURESH KODIKUNNIL
466,Arunachal Pradesh,Shri Tapir Gao,ARUNACHAL EAST,147000000.0,LS,Arunachal Pradesh,,TAPIR GAO,LS_TAPIR GAO
467,Tamil Nadu,Shri vijayakumar Vasanth,KANNIYAKUMARI,171500000.0,LS,Tamil Nadu,,VIJAYAKUMAR VASANTH,LS_VIJAYAKUMAR VASANTH
468,Maharashtra,Shrikant Eknath Shinde,KALYAN,147000000.0,LS,Maharashtra,,SHRIKANT EKNATH SHINDE,LS_SHRIKANT EKNATH SHINDE
469,Maharashtra,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SATARA,147000000.0,LS,Maharashtra,,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,LS_SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE
470,Goa,Shripad Yesso Naik,NORTH GOA,147000000.0,LS,Goa,,SHRIPAD YESSO NAIK,LS_SHRIPAD YESSO NAIK
471,Maharashtra,Shrirang Appa Barne,MAVAL,147000000.0,LS,Maharashtra,,SHRIRANG APPA BARNE,LS_SHRIRANG APPA BARNE
472,Maharashtra,Shyamkumar,RAMTEK(SC),147000000.0,LS,Maharashtra,,SHYAMKUMAR,LS_SHYAMKUMAR
473,Andhra Pradesh,Sivanath Kesineni,VIJAYAWADA,147000000.0,LS,Andhra Pradesh,,SIVANATH KESINENI,LS_SIVANATH KESINENI
474,West Bengal,SK NURUL ISLAM,BASIRHAT,49000000.0,LS,West Bengal,,SK NURUL ISLAM,LS_SK NURUL ISLAM
475,Maharashtra,SMITA UDAY WAGH,JALGAON,148107373.11,LS,Maharashtra,,SMITA UDAY WAGH,LS_SMITA UDAY WAGH
476,Uttar Pradesh,Smt Anupriya Patel,MIRZAPUR,147000000.0,LS,Uttar Pradesh,,ANUPRIYA PATEL,LS_ANUPRIYA PATEL
477,Odisha,Smt Aparajita Sarangi,BHUBANESWAR,147420861.41,LS,Odisha,,APARAJITA SARANGI,LS_APARAJITA SARANGI
478,Uttar Pradesh,Smt Dimple Yadav,MAINPURI,192042469.11,LS,Uttar Pradesh,,DIMPLE YADAV,LS_DIMPLE YADAV
479,Punjab,Smt Harsimrat Kaur Badal,BHATINDA,159775982.39,LS,Punjab,,HARSIMRAT KAUR BADAL,LS_HARSIMRAT KAUR BADAL
480,Uttar Pradesh,Smt Hema Malini,MATHURA,147000000.0,LS,Uttar Pradesh,,HEMA MALINI,LS_HEMA MALINI
481,Madhya Pradesh,Smt Himadri Singh,SHAHDOL (ST),150724861.11,LS,Madhya Pradesh,,HIMADRI SINGH,LS_HIMADRI SINGH
482,Gujarat,Smt Poonamben Hematbhai Maadam,JAMNAGAR,147000000.0,LS,Gujarat,,POONAMBEN HEMATBHAI MAADAM,LS_POONAMBEN HEMATBHAI MAADAM
483,Maharashtra,Smt Raksha Nikhil Khadse,RAVER,153112586.11,LS,Maharashtra,,RAKSHA NIKHIL KHADSE,LS_RAKSHA NIKHIL KHADSE
484,Tamil Nadu,Smt S Jothimani,KARUR,147000000.0,LS,Tamil Nadu,,S JOTHIMANI,LS_S JOTHIMANI
485,West Bengal,Smt Sajda Ahmed,ULUBERIA,147000000.0,LS,West Bengal,,SAJDA AHMED,LS_SAJDA AHMED
